time,X_value,Y_value,Z_value
Started:,8월 19 2019,15:07:50:716, 
0.0000,0.00000,0.00000,0.00000
0.0029,-0.39132,-0.94398,-0.02991
0.0428,-0.30588,-0.76251,0.10348
0.0833,-0.15286,-0.60094,0.00609
0.1238,-0.05235,-0.52874,-0.15212
0.1643,-0.04265,-0.43424,-0.11785
0.2042,-0.12451,-0.31158,0.32144
0.2441,-0.15783,-0.17435,0.24400
0.2842,0.03824,-0.11554,0.57304
0.3257,-0.00346,0.02886,0.49742
0.3652,-0.07760,-0.05166,0.21010
0.4045,-0.03225,-0.09515,0.26135
0.4458,0.07651,-0.06891,0.23016
0.4853,0.04559,-0.02220,0.28772
0.5256,0.18738,0.01101,0.29615
0.5659,0.05740,-0.02400,0.14523
0.6066,0.19504,-0.04795,0.25626
0.6465,0.08798,-0.10947,-0.22608
0.6885,0.07386,-0.13143,-0.25221
0.7295,-0.00463,-0.16492,-0.35683
0.7670,-0.17139,-0.13613,-0.69539
0.8088,-0.33820,-0.20826,-0.83844
0.8498,-0.37526,-0.34896,-1.09313
0.8905,0.36642,-0.28781,-1.19480
0.9312,0.70247,-0.24395,-1.16146
0.9695,1.19776,-0.20297,-0.13838
1.0086,1.83376,0.03503,0.05624
1.0495,2.57124,0.13142,-0.35803
1.0892,3.19491,0.14299,-0.54619
1.1287,3.37856,0.09098,-0.57565
1.1691,4.21547,0.14450,-0.46859
1.2101,4.98089,0.13924,-0.20110
1.2489,6.15543,0.09228,0.39707
1.2891,6.93396,-0.40900,1.74176
1.3302,8.20828,-0.77153,2.60047
1.3696,9.27918,-1.78446,3.33049
1.4108,10.95867,-2.79646,4.80460
1.4509,12.51816,-4.04644,7.72979
1.4899,13.69199,-5.82140,9.09568
1.5303,13.67193,-8.41814,10.35705
1.5712,12.38401,-10.19333,11.16864
1.6126,11.67231,-10.70511,12.07617
1.6515,11.09820,-10.57094,12.36927
1.6918,10.52759,-10.18438,13.11888
1.7334,9.53381,-9.18625,11.37088
1.7716,8.88318,-7.84759,10.79192
1.8120,8.71744,-7.16365,9.76096
1.8532,7.93531,-6.27666,7.24076
1.8917,8.00883,-5.82735,6.10778
1.9331,6.78657,-6.56642,3.66301
1.9720,5.63091,-7.48771,1.88317
2.0119,4.18845,-8.56847,1.15194
2.0530,2.76412,-8.89206,-0.15928
2.0916,1.47954,-8.65896,-1.37168
2.1340,0.80565,-8.13170,-2.42065
2.1738,0.40660,-7.19024,-3.23397
2.2130,0.39661,-6.28025,-3.15500
2.2541,0.33079,-5.75670,-3.55931
2.2929,0.08732,-5.93381,-2.96959
2.3332,-0.04795,-6.47014,-2.54421
2.3731,0.55147,-7.44176,-1.50236
2.4144,2.77187,-8.46143,0.22798
2.4553,6.42993,-10.68701,1.71993
2.4950,11.97275,-14.39715,4.69506
2.5384,17.67481,-19.31354,7.75977
2.5746,25.66398,-23.75257,17.74191
2.6164,27.41918,-25.23868,22.13809
2.6561,28.80685,-30.45432,25.40535
2.6945,28.70126,-33.87577,31.24361
2.7355,31.80289,-35.86821,34.08787
2.7748,31.95077,-35.39919,37.31306
2.8156,30.14719,-35.77138,38.12515
2.8557,29.12460,-38.41129,39.28171
2.8985,31.18595,-40.92578,36.48907
2.9356,33.99836,-39.97831,30.10276
2.9756,33.82813,-36.85970,23.64057
3.0157,31.12615,-34.16704,18.36435
3.0557,27.72272,-31.13898,12.70134
3.0941,23.13029,-28.02835,8.81800
3.1348,18.72017,-25.26069,4.18393
3.1767,13.95403,-22.52094,1.11434
3.2161,10.05969,-19.73790,-1.36923
3.2572,7.25223,-17.13246,-2.05562
3.2952,6.11241,-14.62502,-2.39794
3.3380,5.41777,-12.61296,-2.24098
3.3767,5.06419,-11.30646,-2.34012
3.4181,4.91639,-11.08535,-1.98877
3.4587,4.95833,-11.33402,-1.83914
3.4976,5.68222,-11.88028,-0.68725
3.5421,6.61055,-12.30642,0.94139
3.5806,7.43746,-13.06809,3.11499
3.6184,8.65811,-13.51726,5.81217
3.6556,9.95385,-14.00447,8.35996
3.6966,12.05116,-14.84954,11.69680
3.7369,11.92666,-14.18901,15.33331
3.7746,12.25399,-13.09249,18.45062
3.8192,10.03856,-11.12293,20.42023
3.8562,8.03004,-9.16526,20.36124
3.8960,5.64923,-7.73782,20.36205
3.9352,3.77678,-6.30193,18.35582
3.9761,2.16961,-6.07311,16.92280
4.0184,0.48225,-6.24327,14.69007
4.0578,-0.07526,-6.43663,11.66523
4.0961,0.12064,-6.49763,8.98591
4.1384,0.33210,-6.47213,6.93301
4.1758,0.52127,-6.26802,5.13519
4.2162,0.72453,-5.91732,3.67779
4.2552,0.99449,-5.38406,2.56268
4.3062,1.29143,-4.72443,1.63275
4.3339,1.31915,-4.06948,1.20971
4.3742,1.44906,-3.44106,1.01398
4.4141,1.48429,-2.84593,0.85050
4.4552,1.43615,-2.30684,0.61715
4.4971,1.59926,-1.87155,0.67158
4.5348,1.51460,-1.54014,0.52586
4.5740,1.48864,-1.28812,0.31872
4.6139,1.55804,-1.13246,0.55769
4.6539,1.33450,-1.00274,0.64473
4.6988,1.28694,-0.94896,0.64841
4.7341,1.20504,-0.92371,0.45830
4.7780,1.05992,-0.89605,0.30861
4.8139,1.15514,-0.94752,0.32326
4.8530,1.20009,-0.99905,0.03336
4.8947,1.06969,-1.04300,-0.06948
