Time,GyroX,GyroY,GyroZ,PosX,PosY,PosZ,TorPie,TorThe,
Started:
0.0,-0.17827001,-0.11913644,0.060417015,0.0,0.0,0.6000000238418579,0.0,0.0,
0.0,-0.17827001,-0.110584326,0.059195288,0.0,0.0,0.6000000238418579,NaN,NaN,
0.0,-0.17827001,-0.0898149,0.060417015,0.0,0.0,0.6000000238418579,NaN,NaN,
0.0,-0.17827001,-0.07026722,0.051254038,0.0,0.0,0.6000000238418579,NaN,NaN,
0.0,-0.17827001,-0.06782376,0.037815,-4.605032427945977E-6,7.694685063527773E-4,0.5999995304225175,0.9114852336075019,-400.5134732718432,
0.0,-0.122070424,-0.07637587,0.01765645,-4.605032427945977E-6,7.694685063527773E-4,0.5999995304225175,Infinity,-Infinity,
0.0,-0.053653516,-0.07637587,0.0036065483,-6.671013865928024E-6,8.564821448928107E-4,0.5999994125030983,2040.9848753898027,-428.58042359250226,
0.0,-0.053653516,0.18690704,-0.0031129695,-6.671013865928024E-6,8.564821448928107E-4,0.5999994125030983,NaN,NaN,
0.0,-0.053653516,0.1771332,-0.12406428,1.6009043039993233E-5,-0.0016700916428664518,0.5999976992854598,-3.9833570846009834,-3604.6277269393927,
0.0,-0.053653516,0.10199678,-0.31282166,9.145170346964605E-5,-0.00799182981092954,0.5999467900598261,-25.46901064054833,-5625.350483596868,
0.0,-0.053653516,0.0036474764,-0.51562893,9.145170346964605E-5,-0.00799182981092954,0.5999467900598261,NaN,NaN,
0.0,0.032478485,0.0036474764,-0.6035935,2.104155160883292E-4,-0.020137310639927384,0.5996619656570956,2554.716128695757,-2609.5849168923987,
0.0,0.032478485,-0.12341249,-0.60664785,2.104155160883292E-4,-0.020137310639927384,0.5996619656570956,NaN,NaN,
0.0,0.032478485,-0.09286923,-0.64696497,3.077037814189683E-4,-0.03312896130920758,0.5990846399726719,-1.8428377494916426,-1201.542340177846,
0.0,-0.054875247,-0.09286923,-0.7141601,5.181714130920469E-4,-0.047453765290147665,0.5981203058485846,-2600.171983648076,-1998.4483897803239,
0.0,-0.2845606,0.3542841,-0.76974887,5.181714130920469E-4,-0.047453765290147665,0.5981203058485846,NaN,NaN,
0.0,-0.63825154,0.6218431,-0.8803155,0.002261702629667419,-0.06543355154111666,0.5964171054255244,-10602.388851977992,-3497.7767167701113,
0.0,-0.8825977,0.72080326,-0.8803155,0.002261702629667419,-0.06543355154111666,0.5964171054255244,NaN,NaN,
0.0,-0.82273287,0.7653964,-1.303645,0.006189378429720801,-0.09243415251561644,0.5928048984730167,1215.2034513103113,-12523.25441414371,
0.0,-0.6840665,0.85946965,-1.5388283,0.012200004140653071,-0.12428890090661499,0.5868589759223451,3604.5028298278257,-6685.199288021363,
0.0,-0.550287,1.0048556,-1.7807308,0.012200004140653071,-0.12428890090661499,0.5868589759223451,NaN,NaN,
0.0,-0.45254853,1.1386352,-2.0220225,0.021254938192984494,-0.16516121202186013,0.5764286861842605,2090.787209925743,-6820.400273864371,
0.0,-0.34870142,1.320673,-2.2352147,0.021254938192984494,-0.16516121202186013,0.5764286861842605,NaN,NaN,
0.0,-0.23080444,1.5167607,-2.4398544,0.034649400677013505,-0.21210065285113544,0.5601899327041463,2477.958866481431,-5448.1371847626115,
0.0,-0.07564467,1.6768074,-2.5931816,0.034649400677013505,-0.21210065285113544,0.5601899327041463,NaN,NaN,
0.0,0.100284524,1.6560379,-2.70497,0.051613572208866185,-0.25926663956383067,0.5386249877079126,4396.393153135257,-2115.97686866284,
0.0,0.28415498,1.3280033,-2.8558538,0.07114261201501249,-0.30334507582670933,0.5127577618501736,4122.1098718631765,-2917.236363596419,
0.0,0.28415498,1.1178657,-2.9322119,0.07114261201501249,-0.30334507582670933,0.5127577618501736,NaN,NaN,
0.0,0.28415498,1.0451727,-2.9102206,0.09391389204380994,-0.3430193064928219,0.4832369655403001,192.49294292388467,626.4846802779863,
0.0,0.23284228,0.9963035,-2.7984324,0.09391389204380994,-0.3430193064928219,0.4832369655403001,NaN,NaN,
0.0,0.23284228,0.9058955,-2.6420507,0.11817216983072035,-0.3739089485170411,0.4541227423358251,1503.5973027961531,4411.324322718207,
0.0,0.23284228,0.7904419,-2.5339277,0.1437179280517025,-0.39887572687671563,0.42455075111855295,1120.1148747882455,3021.3703209360133,
0.0,0.28843102,0.7415727,-2.4722302,0.1437179280517025,-0.39887572687671563,0.42455075111855295,Infinity,Infinity,
0.0,0.28843102,0.7146946,-2.356166,0.16860619213520484,-0.41767408191954253,0.39638408378309503,1279.80772844865,3213.514623148465,
0.0,0.28843102,0.6792645,-2.214445,0.19364391768659703,-0.4311936546333176,0.36955932400249325,1651.7347873854983,3887.2403871051993,
0.0,0.28843102,0.59618676,-2.0824983,0.19364391768659703,-0.4311936546333176,0.36955932400249325,NaN,NaN,
0.0,0.28843102,0.5143308,-1.9914794,0.21593695283828715,-0.44094740502571833,0.3448719284172466,1103.737563580358,2477.8673918155855,
0.0,0.28843102,0.43247488,-1.8961843,0.21593695283828715,-0.44094740502571833,0.3448719284172466,NaN,NaN,
0.0,0.28843102,0.3267952,-1.8002785,0.23475301654543973,-0.44882941192595954,0.32162588332291264,1191.557190214252,2597.9962350473315,
0.0,0.28843102,0.25349137,-1.7037618,0.23475301654543973,-0.44882941192595954,0.32162588332291264,NaN,NaN,
0.0,0.28843102,0.2596,-1.60358,0.2509860166395582,-0.4545270812602184,0.3006845198255213,1268.2756893146172,2702.8850697703856,
0.0,0.28843102,0.3127453,-1.5125611,0.26722865917501915,-0.4575322213124223,0.28151933998692186,1177.981614837857,2443.4448501624242,
0.0,0.28843102,0.34695375,-1.4197094,0.26722865917501915,-0.4575322213124223,0.28151933998692186,NaN,NaN,
0.0,0.28843102,0.3811622,-1.3030342,0.2824242827237826,-0.4574189615452932,0.2664665959496848,1549.965392567981,3112.6327956605023,
0.0,0.22978796,0.4526334,-1.1643678,0.2824242827237826,-0.4574189615452932,0.2664665959496848,NaN,NaN,
0.0,0.22978796,0.5039461,-1.0391403,0.29765355930406134,-0.45326694389067224,0.2568101727343835,1719.8274194679097,3312.1793042733157,
0.0,0.22978796,0.52410465,-0.90719354,0.31185411166314575,-0.4474717381673635,0.250032168311397,1873.1986103564159,3457.49569456242,
0.0,0.22978796,0.5320459,-0.7758575,0.31185411166314575,-0.4474717381673635,0.250032168311397,NaN,NaN,
0.0,0.22978796,0.5173851,-0.64085627,0.32297417351906604,-0.44066561707401475,0.24799501160040313,1977.6830300078452,3503.7293579179204,
0.0,0.22978796,0.5149417,-0.5211267,0.32297417351906604,-0.44066561707401475,0.24799501160040313,NaN,NaN,
0.0,0.22978796,0.53876543,-0.39406672,0.33144545516547325,-0.432804816487304,0.2506470220963604,1920.6553532753908,3263.440543572094,
0.0,0.22978796,0.5351002,-0.2645633,0.3381302823035427,-0.42458750491041664,0.2557213160327148,2016.9942338278527,3290.516251354365,
0.0,0.22978796,0.44713566,-0.12711862,0.3381302823035427,-0.42458750491041664,0.2557213160327148,NaN,NaN,
0.0,0.22978796,0.29808453,0.075688645,0.3375161940715734,-0.4205330549329128,0.26312505973103695,3210.071745707621,5121.222087160638,
0.0,0.15648413,0.26570868,0.25650477,0.3375161940715734,-0.4205330549329128,0.26312505973103695,NaN,NaN,
0.0,0.15648413,0.17957667,0.42327097,0.3321616081315373,-0.4181573143270199,0.27351993559613696,2664.933463040027,4195.1433768522875,
0.0,0.15648413,5.9315015E-4,0.5827068,0.3226092287166544,-0.4187895512398873,0.28379328027521955,2547.8737630264386,4010.691357673398,
0.0,0.15648413,-0.1655622,0.74886215,0.3226092287166544,-0.4187895512398873,0.28379328027521955,NaN,NaN,
0.0,0.15648413,-0.28223747,0.90829796,0.3056597131454016,-0.42363669499327034,0.29513406957733596,2509.77698121548,4034.6396298719524,
0.0,-0.010892949,-0.3219437,1.0286385,0.3056597131454016,-0.42363669499327034,0.29513406957733596,NaN,NaN,
0.0,-0.22408491,-0.2620789,1.1129378,0.2921950941740376,-0.42517880138541514,0.3063413821267331,-4116.085014294953,-1163.57078804357,
0.0,-0.48370263,-0.13807325,1.1960155,0.28315745050837743,-0.4227235122372741,0.31800427518133934,-5344.663207995877,-1878.5139174157894,
0.0,-0.6614644,-0.120969035,1.302306,0.28315745050837743,-0.4227235122372741,0.31800427518133934,NaN,NaN,
0.0,-0.6614644,-0.2504725,1.4330312,0.2727575308142443,-0.42003163533372495,0.33041910252469264,1985.1202336953843,3352.228390433776,
0.0,-0.6614644,-0.4031888,1.5710868,0.2727575308142443,-0.42003163533372495,0.33041910252469264,NaN,NaN,
0.0,-0.550287,-0.54674214,1.6706579,0.25494584343583393,-0.41976715892793903,0.3446711154282988,4346.387548415159,4216.337965350023,
0.0,-0.550287,-0.6835759,1.7390747,0.23550208525108793,-0.41870329343686263,0.35948066501238124,965.6481832368787,1795.8188184127616,
0.0,-0.550287,-0.7507711,1.7989395,0.23550208525108793,-0.41870329343686263,0.35948066501238124,NaN,NaN,
0.0,-0.6694057,-0.8002512,1.9015648,0.21562741734961252,-0.41505016707628384,0.37581671637556907,-1795.0355958819518,1134.9389746249344,
0.0,-0.72621614,-0.9040983,2.081159,0.21562741734961252,-0.41505016707628384,0.37581671637556907,NaN,NaN,
0.0,-0.72621614,-1.0073346,2.2784688,0.19164434266813588,-0.4070322409465044,0.39698517524410776,2465.8177969578505,5338.308024986652,
0.0,-0.72621614,-1.1337836,2.464172,0.19164434266813588,-0.4070322409465044,0.39698517524410776,NaN,NaN,
0.0,-0.613206,-1.2076983,2.498991,0.16390468760854662,-0.39357798880276323,0.4221749029965504,3508.867295800032,2246.1841063818183,
0.0,-0.550287,-1.2357981,2.475778,0.13798646286792896,-0.3744043608332231,0.4480860846583984,1523.2962119966116,-5.430951699044284,
0.0,-0.550287,-1.2205265,2.4617283,0.13798646286792896,-0.3744043608332231,0.4480860846583984,NaN,NaN,
0.0,-0.550287,-1.1667703,2.4733348,0.11544050655468577,-0.3490955611608196,0.47413690769063743,106.0377912038564,329.2450742812177,
0.0,-0.550287,-1.03238,2.4666152,0.09640474898853778,-0.31826496446972374,0.4994132210642531,-54.75219947698424,-192.62920282528063,
0.0,-0.6376407,-0.86744636,2.480665,0.09640474898853778,-0.31826496446972374,0.4994132210642531,NaN,NaN,
0.0,-0.6376407,-0.7318343,2.464172,0.0818333538660393,-0.28286750191427595,0.5227707979277751,-122.73839461274639,-475.96127922004274,
0.0,-0.5142459,-0.6420371,2.3762074,0.0818333538660393,-0.28286750191427595,0.5227707979277751,NaN,NaN,
0.0,-0.337095,-0.6194351,2.2638078,0.06733028819579628,-0.24695048497385688,0.5426620669190707,4369.69675679372,-2048.548161881659,
0.0,-0.22469579,-0.7367212,2.1617935,0.06733028819579628,-0.24695048497385688,0.5426620669190707,NaN,NaN,
0.0,-0.22469579,-0.94013935,2.0292356,0.05376704141299654,-0.2118426400866336,0.5587770840944072,-785.026575891467,-3871.74884122785,
