time,X_value,Y_value,Z_value
Started:,8월 21 2019,11:04:46:748, 
0.0000,0.00000,0.00000,0.00000
0.0006,0.28430,-0.08201,0.14798
0.0306,0.30838,-0.06418,0.33384
0.0651,0.22995,-0.10087,0.30990
0.0990,0.20755,-0.16317,0.27143
0.1331,0.21229,-0.23401,0.22745
0.1672,0.16508,-0.33797,0.19004
0.2010,0.16053,-0.43763,0.15234
0.2354,0.21330,-0.46464,0.13520
0.2695,0.19440,-0.42561,0.10533
0.3035,0.13130,-0.41675,0.06343
0.3371,0.11001,-0.47929,0.03475
0.3712,0.13055,-0.56683,-0.00197
0.4050,0.13456,-0.74164,-0.03439
0.4392,0.10766,-1.03102,-0.04915
0.4730,0.08378,-1.28345,-0.06386
0.5075,0.13421,-1.52176,-0.14478
0.5418,0.35534,-1.84279,-0.23023
0.5756,0.46171,-2.06544,-0.27703
0.6099,0.34303,-2.08634,-0.38170
0.6437,0.06312,-1.97538,-0.52339
0.6777,-0.16668,-1.82481,-0.53706
0.7115,-0.10339,-1.75461,-0.47633
0.7436,0.03676,-1.77096,-0.39664
0.7774,0.07003,-1.71436,-0.25222
0.8117,-0.07941,-1.51771,-0.07447
0.8456,-0.23286,-1.33465,0.05606
0.8813,-0.23648,-1.30014,0.12558
0.9134,-0.26624,-1.28756,0.15118
0.9474,-0.33565,-1.21421,0.14508
0.9831,-0.37647,-1.12482,0.11659
1.0155,-0.42912,-1.06998,0.09195
1.0495,-0.45075,-1.00863,0.09224
1.0837,-0.49948,-0.96798,0.12188
1.1175,-0.50534,-0.90933,0.14008
1.1514,-0.44040,-0.80901,0.12883
1.1859,-0.35397,-0.68953,0.09485
1.2196,-0.25578,-0.56093,0.06520
1.2542,-0.15337,-0.46553,0.02770
1.2876,-0.04022,-0.40472,-0.01161
1.3280,0.02822,-0.34548,-0.01988
1.3561,0.07925,-0.29225,-0.01624
1.3901,0.13517,-0.22532,-0.00801
1.4236,0.16091,-0.14037,0.00074
1.4590,0.16444,-0.09540,-0.00071
1.4924,0.14628,-0.06032,-0.00221
1.5259,0.10986,-0.02502,-0.01072
1.5599,0.10959,-0.04926,-0.01941
1.5944,0.13877,-0.10526,-0.07001
1.6278,0.18082,-0.13769,-0.15298
1.6661,0.20069,-0.15754,-0.22509
1.6983,0.20908,-0.17344,-0.33637
1.7309,0.21496,-0.15283,-0.48447
1.7640,0.26793,-0.14060,-0.63251
1.7986,0.36746,-0.15133,-0.79767
1.8326,0.41410,-0.13378,-0.97319
1.8661,0.35771,-0.06839,-1.17524
1.9005,0.37364,-0.06452,-1.40692
1.9344,0.42518,-0.03723,-1.66469
1.9682,0.27052,0.09732,-1.94331
2.0035,0.04521,0.23186,-2.18952
2.0362,0.10353,0.22630,-2.36994
2.0703,0.05466,0.28805,-2.44389
2.1041,0.10366,0.38188,-2.47809
2.1383,0.17231,0.40767,-2.46514
2.1727,0.13835,0.43494,-2.36997
2.2081,0.13500,0.38796,-2.23222
2.2421,0.13071,0.39844,-2.05338
2.2742,0.20234,0.32974,-1.82632
2.3082,0.30347,0.21761,-1.53695
2.3428,0.34481,0.10116,-1.21171
2.3765,0.40073,-0.02706,-0.86203
2.4110,0.39758,-0.11398,-0.51516
2.4444,0.35410,-0.19022,-0.16296
2.4788,0.33611,-0.27140,0.22570
2.5128,0.29906,-0.31182,0.67119
2.5466,0.24346,-0.32597,1.08460
2.5808,0.09283,-0.31039,1.48456
2.6147,-0.29785,-0.21339,1.99837
2.6487,-0.67887,-0.11143,2.79862
2.7025,-1.11134,0.01072,3.87672
2.7169,-1.72117,0.32704,4.81669
2.7512,-1.94890,0.69255,5.20640
2.7848,-1.89110,0.92496,5.08234
2.8189,-1.60979,0.94279,4.69515
2.8529,-1.21853,0.90492,4.20941
2.8870,-0.85431,0.81842,3.73258
2.9213,-0.60014,0.69635,3.24594
2.9552,-0.46095,0.61389,2.81214
2.9897,-0.39445,0.46649,2.37663
3.0287,-0.33392,0.30352,1.96926
3.0571,-0.28635,0.17580,1.64717
3.0910,-0.25522,0.07595,1.35534
3.1255,-0.21184,0.00501,1.08935
3.1591,-0.17443,-0.02892,0.85683
3.1933,-0.14126,-0.03009,0.64922
3.2274,-0.12689,-0.02196,0.47292
3.2618,-0.13299,-0.01491,0.33408
3.2965,-0.11224,-0.02685,0.22171
3.3296,-0.09291,-0.02672,0.14346
3.3629,-0.07695,0.00386,0.10253
3.3968,-0.05553,0.01446,0.06745
