time,X_value,Y_value,Z_value
Started:,8월 21 2019,11:19:56:701, 
0.0000,0.00000,0.00000,0.00000
0.0005,-0.06873,0.19677,0.01568
0.0299,-0.05769,0.16552,0.02789
0.0639,-0.04469,0.12545,0.04057
0.0982,-0.04538,0.08662,0.04363
0.1319,-0.03634,0.06099,0.04241
0.1663,-0.03115,0.05422,0.04185
0.2003,-0.03074,0.04039,0.04251
0.2341,-0.03264,0.02647,0.03746
0.2683,-0.02074,0.02042,0.02129
0.3026,-0.01274,0.01353,-0.00897
0.3364,-0.00553,-0.02035,-0.06030
0.3703,0.02295,-0.05679,-0.13914
0.4042,0.04540,-0.07306,-0.24775
0.4382,0.02248,-0.09834,-0.38966
0.4721,0.07838,-0.13150,-0.53807
0.5063,0.19350,-0.15588,-0.68231
0.5403,0.32858,-0.12371,-0.83121
0.5748,0.50188,-0.07580,-0.98732
0.6084,0.65933,-0.03872,-1.14065
0.6426,0.72740,0.00451,-1.30153
0.6764,0.85640,0.01968,-1.46154
0.7106,0.99375,0.02368,-1.60451
0.7446,0.93554,0.14160,-1.76234
0.7785,0.93931,0.24441,-1.88709
0.8146,0.97217,0.27066,-1.93698
0.8468,0.93136,0.30679,-1.92212
0.8811,0.90950,0.27939,-1.84743
0.9160,0.84584,0.22660,-1.73558
0.9493,0.82752,0.14889,-1.57305
0.9832,0.79355,0.07449,-1.36570
1.0166,0.69757,0.00579,-1.13081
1.0511,0.60489,-0.05217,-0.87462
1.0848,0.51362,-0.09638,-0.59128
1.1188,0.41734,-0.15447,-0.29787
1.1531,0.31456,-0.21138,0.00559
1.1866,0.22701,-0.26814,0.32965
1.2211,0.15632,-0.32892,0.67401
1.2549,0.05259,-0.32353,1.03484
1.2889,-0.09280,-0.26251,1.37742
1.3242,-0.29382,-0.19733,1.69641
1.3570,-0.53099,-0.18065,2.00916
1.3955,-0.74349,-0.22374,2.30255
1.4260,-0.97353,-0.29155,2.54299
1.4603,-1.23789,-0.30874,2.72289
1.4931,-1.49141,-0.27289,2.83761
1.5269,-1.64759,-0.25716,2.88882
1.5607,-1.72678,-0.20822,2.88742
1.5950,-1.74619,-0.10488,2.80125
1.6290,-1.68537,-0.02818,2.62916
1.6648,-1.57163,0.00712,2.39831
1.6981,-1.44704,-0.00371,2.13570
1.7310,-1.36641,-0.01335,1.87929
1.7653,-1.30071,-0.01636,1.63472
1.7999,-1.21667,-0.05616,1.38912
1.8331,-1.13068,-0.07822,1.15007
1.8677,-1.05685,-0.06174,0.93273
1.9026,-0.96399,-0.05925,0.73653
1.9351,-0.84048,-0.06941,0.55800
1.9695,-0.74344,-0.05001,0.41076
2.0041,-0.64757,-0.03257,0.28535
2.0377,-0.53599,-0.00451,0.18698
2.0715,-0.42906,0.03283,0.11277
2.1057,-0.33541,0.06646,0.05697
2.1396,-0.27191,0.08692,0.00732
2.1733,-0.20396,0.12179,-0.03735
2.2073,-0.15187,0.15821,-0.05432
2.2416,-0.13209,0.20507,-0.06123
2.2755,-0.10132,0.26582,-0.06261
2.3096,-0.09932,0.27098,-0.03961
2.3445,-0.10845,0.25253,-0.01821
2.3776,-0.09645,0.22293,0.00299
2.4118,-0.08901,0.18015,0.02264
2.4456,-0.09749,0.14180,0.03065
2.4794,-0.09029,0.09542,0.02400
2.5143,-0.08128,0.07205,0.01344
2.5481,-0.08201,0.06338,0.00544
2.5818,-0.08083,0.03966,-0.00145
2.6163,-0.08477,0.02535,-0.00425
2.6500,-0.09619,0.02503,-0.00831
2.6838,-0.08355,0.03289,-0.01054
2.7181,-0.07507,0.03409,-0.01046
2.7525,-0.12744,0.06175,-0.01703
2.7857,-0.17361,0.08622,-0.02107
2.8196,-0.15136,0.08951,-0.02447
