time,X_value,Y_value,Z_value
Started:,8월 21 2019,11:19:37:728, 
0.0000,0.00000,0.00000,0.00000
0.0004,-0.01232,0.02973,-0.02634
0.0329,-0.01588,0.03930,-0.01632
0.0668,-0.01310,0.04326,-0.01032
0.1016,0.00174,0.04719,0.00296
0.1351,0.01388,0.05731,0.01822
0.1731,0.02003,0.06077,0.02315
0.2029,0.01491,0.06840,0.03107
0.2375,0.01593,0.07234,0.03822
0.2721,0.01353,0.06411,0.04020
0.3063,-0.00347,0.04739,0.04100
0.3392,-0.01847,0.02686,0.03691
0.3731,-0.04771,0.01059,0.02472
0.4069,-0.14320,-0.00128,-0.03159
0.4409,-0.24140,-0.03587,-0.17418
0.4750,-0.27397,-0.10176,-0.31819
0.5095,-0.28483,-0.18217,-0.45254
0.5435,-0.25272,-0.22995,-0.60894
0.5773,-0.21394,-0.25326,-0.77233
0.6113,-0.12764,-0.28984,-0.94044
0.6437,-0.04146,-0.23897,-1.10844
0.6773,0.08856,-0.07992,-1.28430
0.7113,0.30811,0.05022,-1.46283
0.7451,0.54115,0.08894,-1.60062
0.7796,0.71623,0.07275,-1.69927
0.8131,0.70145,0.13696,-1.82207
0.8475,0.61714,0.25938,-1.99321
0.8812,0.56505,0.29693,-2.17479
0.9151,0.54850,0.23398,-2.33040
0.9493,0.56113,0.17342,-2.48245
0.9831,0.55168,0.13166,-2.51100
1.0174,0.56091,0.13347,-2.47804
1.0513,0.62986,0.12547,-2.46728
1.0854,0.73483,0.15142,-2.49038
1.1223,0.73865,0.21254,-2.42928
1.1533,0.64776,0.23874,-2.24671
1.1876,0.55723,0.24077,-1.94802
1.2216,0.49879,0.20960,-1.57879
1.2561,0.46940,0.14062,-1.19825
1.2897,0.43081,0.04206,-0.83893
1.3239,0.38657,-0.04135,-0.51548
1.3577,0.35844,-0.09697,-0.22306
1.3919,0.34118,-0.16498,0.07413
1.4257,0.32090,-0.25092,0.40221
1.4604,0.28530,-0.31206,0.75429
1.4937,0.24726,-0.36478,1.11443
1.5286,0.23198,-0.42176,1.48747
1.5618,0.26010,-0.46844,1.85468
1.5961,0.16622,-0.50097,2.20157
1.6299,-0.03420,-0.57227,2.55977
1.6642,-0.24827,-0.65570,2.89932
1.6980,-0.56264,-0.59521,3.20134
1.7324,-0.91219,-0.49220,3.47743
1.7668,-1.16869,-0.37609,3.68196
1.8009,-1.44177,-0.11522,3.78535
1.8342,-1.68562,0.07748,3.81740
1.8690,-1.69494,0.18331,3.74471
1.9030,-1.60428,0.34380,3.60798
1.9364,-1.47163,0.49808,3.44606
1.9706,-1.28053,0.56750,3.24383
2.0042,-1.12267,0.56856,3.01065
2.0387,-1.02255,0.52634,2.73414
2.0724,-0.94757,0.43852,2.42955
2.1065,-0.88179,0.32881,2.10715
2.1470,-0.79849,0.22900,1.78693
2.1743,-0.72668,0.12950,1.48535
2.2085,-0.66154,0.04563,1.21321
2.2427,-0.57294,-0.04113,0.97552
2.2761,-0.50522,-0.09875,0.77284
2.3106,-0.43508,-0.13443,0.57748
2.3445,-0.34952,-0.15225,0.41137
2.3787,-0.28229,-0.15183,0.26431
2.4129,-0.23371,-0.11749,0.12740
2.4467,-0.20431,-0.00618,0.02851
2.4806,-0.20863,0.11293,-0.03990
2.5145,-0.22487,0.26306,-0.10498
2.5489,-0.15960,0.39137,-0.12919
2.5831,-0.05248,0.43885,-0.12406
2.6166,-0.04067,0.47265,-0.12895
2.6507,-0.08270,0.51609,-0.13960
2.6853,-0.06759,0.49355,-0.14892
2.7210,-0.01475,0.43809,-0.17406
2.7528,-0.01071,0.43888,-0.20046
2.7882,-0.04499,0.47518,-0.20946
2.8298,-0.03957,0.47552,-0.20378
2.8549,-0.02505,0.45367,-0.18354
2.8889,-0.02624,0.44432,-0.16037
2.9229,-0.03280,0.43756,-0.14284
2.9580,-0.06938,0.42252,-0.11878
2.9910,-0.09140,0.38856,-0.10024
3.0247,-0.07260,0.33434,-0.08470
3.0589,-0.06716,0.28098,-0.06925
3.0929,-0.08918,0.24860,-0.05287
3.1268,-0.08811,0.22912,-0.04123
3.1613,-0.13134,0.22879,-0.02540
3.1951,-0.19177,0.24318,-0.01127
3.2288,-0.13005,0.20639,-0.00032
3.2633,-0.07403,0.18858,0.01173
