time,X_value,Y_value,Z_value
Started:,8월 21 2019,11:15:10:842, 
0.0000,0.00000,0.00000,0.00000
0.0005,-0.02658,0.00997,-0.05460
0.0325,-0.04898,0.03658,-0.05773
0.0664,-0.06053,0.04202,-0.05736
0.1003,-0.03651,0.02573,-0.05159
0.1341,-0.02341,0.03443,-0.04746
0.1682,-0.03234,0.04047,-0.04839
0.2024,-0.03553,0.04415,-0.04347
0.2365,-0.03457,0.04433,-0.03472
0.2703,-0.03792,0.04569,-0.02457
0.3044,-0.03408,0.03961,-0.01871
0.3385,-0.02122,0.02751,-0.01627
0.3724,-0.02585,0.02142,-0.01392
0.4066,-0.03972,0.02870,-0.01772
0.4410,-0.05274,0.02967,-0.01941
0.4748,-0.07687,0.03647,-0.02189
0.5089,-0.08742,0.01896,-0.02336
0.5430,-0.10514,-0.00021,-0.01782
0.5769,-0.11186,-0.01285,-0.01937
0.6107,-0.09175,-0.04581,-0.00216
0.6488,-0.10397,-0.05763,0.02006
0.6798,-0.16275,-0.03209,0.02059
0.7222,-0.14647,-0.03598,0.00418
0.7483,-0.14646,-0.01937,-0.01864
0.7810,-0.14532,0.00173,-0.03128
0.8147,-0.13164,-0.00148,-0.03417
0.8488,-0.11548,-0.01691,-0.01242
0.8833,-0.08030,-0.02990,0.00946
0.9171,-0.06221,-0.03913,0.01270
0.9514,-0.05241,-0.03654,0.01525
0.9850,-0.04916,-0.03014,0.01686
1.0197,-0.03970,-0.02724,0.02384
1.0533,-0.02204,-0.03749,0.02634
1.0880,-0.01473,-0.03813,0.02192
1.1224,-0.00694,-0.03805,0.02853
1.1557,-0.00045,-0.04477,0.04021
1.1894,0.01230,-0.04042,0.05125
1.2236,0.03450,-0.04395,0.06775
1.2578,0.07059,-0.05398,0.07754
1.2915,0.10003,-0.04167,0.07573
1.3253,0.15654,-0.06572,0.05507
1.3595,0.23787,-0.11296,0.02450
1.3939,0.30320,-0.12752,-0.01774
1.4276,0.34315,-0.13072,-0.10165
1.4615,0.39623,-0.11179,-0.22254
1.4954,0.39891,-0.06871,-0.42538
1.5302,0.34730,0.00178,-0.66613
1.5639,0.40970,0.05368,-0.84526
1.5983,0.56422,0.08558,-1.02174
1.6319,0.59011,0.17931,-1.28403
1.6656,0.56920,0.33960,-1.52866
1.6997,0.65122,0.39374,-1.65497
1.7366,0.63241,0.48117,-1.75958
1.7676,0.51607,0.64682,-1.81568
1.8017,0.57284,0.62176,-1.73622
1.8359,0.57946,0.53530,-1.67075
1.8699,0.46814,0.47152,-1.65905
1.9045,0.42822,0.40233,-1.60710
1.9379,0.44662,0.36055,-1.47052
1.9727,0.41180,0.34798,-1.28649
2.0059,0.37818,0.30164,-1.08789
2.0401,0.36161,0.20616,-0.86172
2.0739,0.30998,0.11386,-0.59943
2.1088,0.24742,0.01618,-0.31566
2.1421,0.16305,-0.05993,-0.02418
2.1759,0.11100,-0.13534,0.29759
2.2100,0.11575,-0.20609,0.63112
2.2443,0.13675,-0.25714,0.93533
2.2784,0.10569,-0.29872,1.22538
2.3124,0.03719,-0.33987,1.49695
2.3461,-0.09362,-0.38703,1.74543
2.3806,-0.38132,-0.38476,1.92834
2.4210,-0.72000,-0.35366,2.12216
2.4481,-1.15871,-0.22981,2.33830
2.4820,-1.59748,0.00709,2.59956
2.5160,-1.96809,0.26098,2.80469
2.5502,-2.11756,0.44924,2.89263
2.5842,-2.11499,0.59128,2.90528
2.6185,-2.04477,0.70676,2.77949
2.6534,-1.84642,0.74448,2.56884
2.6865,-1.61629,0.71064,2.35010
2.7203,-1.41510,0.64723,2.11647
2.7545,-1.22742,0.55591,1.85513
2.7881,-1.08672,0.46043,1.60202
2.8231,-0.95762,0.35403,1.36920
2.8570,-0.86771,0.24211,1.15015
2.8902,-0.77719,0.12144,0.96748
2.9246,-0.65577,0.00777,0.79555
2.9582,-0.56269,-0.07600,0.62801
2.9922,-0.46864,-0.14483,0.47935
3.0261,-0.39558,-0.19141,0.34349
3.0602,-0.33070,-0.21863,0.21827
3.0946,-0.25394,-0.22418,0.11705
3.1286,-0.19842,-0.20381,0.04374
3.1626,-0.16252,-0.18755,-0.01748
3.1970,-0.12926,-0.17042,-0.05917
3.2307,-0.10408,-0.13671,-0.08423
3.2650,-0.08949,-0.10082,-0.09958
3.2997,-0.07270,-0.08547,-0.11210
3.3328,-0.06426,-0.05918,-0.12142
3.3671,-0.05153,-0.01696,-0.13113
3.4012,-0.05209,0.01068,-0.14026
3.4392,-0.06879,0.02863,-0.14779
3.4688,-0.07511,0.06203,-0.15324
3.5029,-0.07823,0.08810,-0.15407
3.5365,-0.05477,0.08531,-0.14615
