Time,GyroX,GyroY,GyroZ,PosX,PosY,PosZ,TorPie,TorThe,
Started:
0.0,-0.3755795,0.7910528,-0.36718866,0.0,0.0,0.6000000238418579,0.0,0.0,
0.0,-0.3755795,0.7079751,-0.26028723,0.0,0.0,0.6000000238418579,NaN,NaN,
0.0,-0.31021693,0.5424306,-0.26028723,0.0,0.0,0.6000000238418579,NaN,NaN,
0.0,-0.22652838,0.35856017,-0.26028723,4.0798172837652235E-5,-0.005294538029953108,0.599976661890101,2493.9328487932066,30.006660312505517,
0.0,-0.16666359,0.14658995,-0.12528601,1.0588040369625902E-4,-0.007894731990832562,0.5999480732583139,1852.0460809921603,4053.0109651668404,
0.0,-0.16666359,0.006090937,-0.09352103,1.0588040369625902E-4,-0.007894731990832562,0.5999480732583139,NaN,NaN,
0.0,-0.08480764,-0.117914714,-0.09352103,1.5870913134711517E-4,-0.009767944608544448,0.599920486964536,2439.2913434239836,31.69663093134243,
0.0,-0.08480764,-0.28040487,-0.0067781606,1.5870913134711517E-4,-0.009767944608544448,0.599920486964536,NaN,NaN,
0.0,-0.02860804,-0.44289503,-0.0067781606,1.6564502824605097E-4,-0.00976100195443682,0.599920598090114,1674.875759181582,-3.1280449209892565,
0.0,-0.02860804,-0.50764674,0.020710776,1.617500238448983E-4,-0.009157827315779098,0.5999301098011453,-15.483769943179702,819.0877879715034,
0.0,-0.02860804,-0.47404912,-0.05076046,1.617500238448983E-4,-0.009157827315779098,0.5999301098011453,NaN,NaN,
0.0,-0.02860804,-0.23520084,-0.13628158,2.1675937973007571E-4,-0.011797450680941438,0.5998839902706457,68.28105757895328,-2547.813097928262,
0.0,-0.25523904,-0.23520084,-0.2169158,4.213209364751403E-4,-0.01588654395654996,0.5997895204319721,-6666.732134070966,-2167.418342513259,
0.0,-0.41100967,0.10749457,-0.3824603,4.213209364751403E-4,-0.01588654395654996,0.5997895204319721,NaN,NaN,
0.0,-0.47698313,0.12154447,-0.49547037,0.0010792731950219053,-0.025609453855557848,0.5994522663672401,-1862.1738929184662,-3306.2161849778067,
0.0,-0.6162604,0.09039034,-0.5205158,0.0010792731950219053,-0.025609453855557848,0.5994522663672401,NaN,NaN,
0.0,-0.7469856,0.21928291,-0.46004015,0.0023302150227736884,-0.03464918160359523,0.5989941843810996,-3936.7604551066615,1892.3964618602492,
0.0,-0.7469856,0.3280169,-0.53762007,0.004237861956618926,-0.04560420233144695,0.5982493843423319,28.305385358788833,-2311.8883825897788,
0.0,-0.6645187,0.28159115,-0.80701166,0.004237861956618926,-0.04560420233144695,0.5982493843423319,Infinity,-Infinity,
0.0,-0.6645187,0.2388306,-1.1368788,0.007944005863879108,-0.06851826522338257,0.5960219532130029,41.57405093808906,-9830.720259721216,
0.0,-0.7170532,0.27487165,-1.3683969,0.007944005863879108,-0.06851826522338257,0.5960219532130029,NaN,NaN,
0.0,-0.8190677,0.4795115,-1.5382173,0.014620060714029557,-0.09985999845848345,0.5914509811834112,-3100.082858968342,-5096.746248921533,
0.0,-0.7060576,0.6206214,-1.7819525,0.02398652273572642,-0.1361222639977871,0.5838624877326812,3128.784660285106,-7149.931537064711,
0.0,-0.56922376,0.5222721,-1.9872032,0.02398652273572642,-0.1361222639977871,0.5838624877326812,NaN,NaN,
0.0,-0.46720928,0.42758796,-2.1997845,0.03568279923624239,-0.17904962866725105,0.5715487703801099,2739.0437006193606,-6185.470052867363,
0.0,-0.40673363,0.3072475,-2.2908032,0.03568279923624239,-0.17904962866725105,0.5715487703801099,NaN,NaN,
0.0,-0.40673363,0.24188492,-2.3195138,0.04899288290551265,-0.22222575428958682,0.5551715412061942,-47.164048939353464,-854.341809522583,
0.0,-0.40673363,0.26570868,-2.3641071,0.06439125384301671,-0.2643181248887393,0.5347800705842123,-85.08299455303603,-1326.2585748021406,
0.0,-0.32609943,0.31579962,-2.4209177,0.06439125384301671,-0.2643181248887393,0.5347800705842123,NaN,NaN,
0.0,-0.2595151,0.3719992,-2.4765062,0.06439125384301671,-0.2643181248887393,0.5347800705842123,NaN,NaN,
0.0,-0.2051481,0.5118874,-2.5241537,0.10140413080995211,-0.34688805429507286,0.47894248992158417,736.4476359002203,-626.9648911158249,
0.0,-0.2051481,0.71774894,-2.532706,0.10140413080995211,-0.34688805429507286,0.47894248992158417,NaN,NaN,
0.0,-0.2051481,0.7641747,-2.5437014,0.10140413080995211,-0.34688805429507286,0.47894248992158417,NaN,NaN,
0.0,-0.2051481,0.82281774,-2.559584,0.126249010969282,-0.3828298399438082,0.44441256675313123,-59.494855163448214,-469.58122337852234,
0.0,-0.12451389,0.91505843,-2.5345385,0.126249010969282,-0.3828298399438082,0.44441256675313123,Infinity,Infinity,
0.0,-0.12451389,0.9590407,-2.4685652,0.1539339016351555,-0.41221379801172364,0.4079021540349575,309.76242617767275,1941.6025975646446,
0.0,-0.025553714,0.88512605,-2.396483,0.18175688401704737,-0.4355299833191361,0.3705105900681878,3298.62150509493,2661.3309297852525,
0.0,0.069741264,0.79716146,-2.3463922,0.18175688401704737,-0.4355299833191361,0.3705105900681878,Infinity,Infinity,
0.0,0.15037547,0.6872057,-2.3213468,0.20589559977433888,-0.4543742312484354,0.33339329414550123,2506.109632080762,1233.077455722228,
0.0,0.15037547,0.66277105,-2.2895815,0.23079620128890982,-0.46832231331634283,0.2956473455501814,218.77324815392086,921.0517746028676,
0.0,0.15037547,0.7464596,-2.215667,0.23079620128890982,-0.46832231331634283,0.2956473455501814,NaN,NaN,
0.0,0.15037547,0.75867695,-2.1509154,0.2571963951301865,-0.47583677208293934,0.2596717336868915,493.60313747274427,1865.5525706430778,
0.0,0.22184671,0.8118222,-2.057453,0.2571963951301865,-0.47583677208293934,0.2596717336868915,Infinity,Infinity,
0.0,0.22184671,0.9565972,-1.9303929,0.28485412108290376,-0.4761384108473305,0.22836455948350476,1085.5645804687274,3627.7446007995413,
0.0,0.22184671,1.0867115,-1.770346,0.3141853491565305,-0.4698553086917738,0.20130470406768183,1533.0725416122837,4516.676205384123,
0.0,0.29026362,1.0995396,-1.5779235,0.3141853491565305,-0.4698553086917738,0.20130470406768183,Infinity,Infinity,
0.0,0.3507393,1.0781595,-1.458194,0.33911886727833745,-0.460199747412142,0.18224877214370502,2952.9511079233453,3975.8312932245176,
0.0,0.406328,0.9798101,-1.3311341,0.33911886727833745,-0.460199747412142,0.18224877214370502,Infinity,Infinity,
