Time,GyroX,GyroY,GyroZ,PosX,PosY,PosZ,TorPie,TorThe,
Started:
0.0,-0.25370333,0.10096014,-0.30131844,5.1995539619512986E-5,-0.006083283696018443,0.599969182180358,0.0,0.0,
0.0,-0.35144177,0.18037263,-0.36668104,2.7821535524217786E-4,-0.013559005328959785,0.5998467342421191,-2931.091225705605,-1975.367175898375,
0.0,-0.4296325,0.26161772,-0.45708907,8.148550275718869E-4,-0.02300670853542225,0.5995582173433037,-2378.9634144844113,-2736.3733928309916,
0.0,-0.4296325,0.20297465,-0.5200082,0.0017077927524854757,-0.03378656027603861,0.5990455578658924,-46.928065577662814,-1874.5491764053231,
0.0,-0.4296325,0.10279274,-0.5303929,0.0017077927524854757,-0.03378656027603861,0.5990455578658924,NaN,NaN,
0.0,-0.4296325,0.13700119,-0.54505366,0.002965056839679447,-0.04506355471578489,0.5982980136057156,-12.94249075284435,-436.7334309944465,
0.0,-0.4296325,0.23901568,-0.56887746,0.002965056839679447,-0.04506355471578489,0.5982980136057156,NaN,NaN,
0.0,-0.4296325,0.22313319,-0.58353823,0.004669582640729205,-0.05726086523774337,0.5972431807232431,-16.21196740593192,-436.6242892097248,
0.0,-0.4296325,0.0911863,-0.6971591,0.006960052740280981,-0.07153646357276085,0.5956795452721082,-135.99552551908906,-3383.433979422998,
0.0,-0.4296325,-0.115897015,-0.80711484,0.006960052740280981,-0.07153646357276085,0.5956795452721082,NaN,NaN,
0.0,-0.4296325,-0.17759441,-0.93356395,0.010092597946807154,-0.08990159822550486,0.5931406837449392,-128.90885224831956,-3766.2716385143417,
0.0,-0.6159464,0.36424306,-0.9525008,0.014965966431905824,-0.10962911947293509,0.5897096782507288,-5572.798652185392,-821.5005402792061,
0.0,-0.82364064,0.9983212,-1.042298,0.014965966431905824,-0.10962911947293509,0.5897096782507288,-Infinity,-Infinity,
0.0,-0.6446571,1.0203123,-1.2542682,0.022971545463734037,-0.1366965871901344,0.5837691151129937,4807.710714404238,-5866.812764158858,
0.0,-0.47544742,0.94456506,-1.5468727,0.022971545463734037,-0.1366965871901344,0.5837691151129937,NaN,NaN,
0.0,-0.47544742,0.7460338,-1.8584139,0.03420587264688661,-0.17399355453861381,0.5731982465654561,-979.6030705206218,-9232.828766440502,
0.0,-0.4015327,0.58659804,-1.9952478,0.03420587264688661,-0.17399355453861381,0.5731982465654561,NaN,NaN,
0.0,-0.4015327,0.64096504,-1.984863,0.04776037454217662,-0.21199618245015517,0.5592643327268256,39.264801346593025,306.99025390447594,
0.0,-0.50171465,0.89752847,-1.9915825,0.06572635523970956,-0.2486909019934793,0.5420635664779576,-2980.1560254584906,-665.5736056537432,
0.0,-0.62449855,1.1766938,-2.080158,0.06572635523970956,-0.2486909019934793,0.5420635664779576,-Infinity,-Infinity,
0.0,-0.881062,1.6922642,-2.148575,0.09591388488558153,-0.285747060139703,0.5187958875298669,-7904.831990066538,-3617.0795592843738,
0.0,-0.7894321,1.9097322,-2.384369,0.09591388488558153,-0.285747060139703,0.5187958875298669,NaN,NaN,
0.0,-0.4216913,1.8480347,-2.5535786,0.1313123757830237,-0.32230186162487895,0.4887520829311988,9169.580839860433,-1863.9774802433853,
0.0,-0.06983289,1.9030125,-2.334889,0.16596653966621064,-0.3474722122882733,0.46012845816027,12059.334583722264,9641.185138018032,
0.0,-0.06983289,2.1888974,-2.0557234,0.16596653966621064,-0.3474722122882733,0.46012845816027,NaN,NaN,
0.0,0.035846796,2.0166335,-2.1363578,0.20137004074822681,-0.36159162426923536,0.43439801168700537,1938.7294544966333,-957.5717461405891,
0.0,0.19345003,1.6867664,-2.2597525,0.20137004074822681,-0.36159162426923536,0.43439801168700537,NaN,NaN,
0.0,0.38648346,1.320858,-2.3416083,0.2319156557568359,-0.37358501963388496,0.4082271308110923,4109.8068118998435,317.9041437096108,
0.0,0.51598686,1.180359,-2.3067892,0.2606984591782381,-0.38015858507722816,0.38407784651604476,3892.3115762313114,2736.5434764178854,
0.0,0.51598686,1.1583679,-2.2909064,0.2606984591782381,-0.38015858507722816,0.38407784651604476,NaN,NaN,
0.0,0.51598686,1.0587969,-2.3122869,0.28971553309797066,-0.38199528197121374,0.3607555169969292,-320.521185874299,-550.701874932689,
0.0,0.45734382,0.7949031,-2.3464954,0.28971553309797066,-0.38199528197121374,0.3607555169969292,-Infinity,-Infinity,
0.0,0.53919977,0.72098833,-2.3690975,0.3173428720924599,-0.3824607385088762,0.33618047778177673,1725.2676695892153,703.971403889865,
0.0,0.6540424,0.7099928,-2.388645,0.34376589474305036,-0.37914864155586203,0.31316344906148386,2555.121446377047,1372.7943013976237,
0.0,0.6540424,0.6550149,-2.2878523,0.34376589474305036,-0.37914864155586203,0.31316344906148386,NaN,NaN,
0.0,0.6540424,0.56705034,-2.1907246,0.36666647762944826,-0.3739200629350702,0.2928130962366209,1620.4011500450767,2398.579738752454,
0.0,0.55141705,0.56705034,-2.0679407,0.36666647762944826,-0.3739200629350702,0.2928130962366209,NaN,NaN,
0.0,0.39503556,0.71304715,-2.0013564,0.3917797502436881,-0.3616437019287064,0.2751771952116025,-2648.4787402776496,-1083.3251003105966,
0.0,0.39503556,0.8260572,-1.9585959,0.4166194292790912,-0.3440003392328695,0.26094452737136525,766.941366416533,1017.7422651641008,
0.0,0.39503556,0.67456263,-1.8657444,0.4166194292790912,-0.3440003392328695,0.26094452737136525,NaN,NaN,
0.0,0.49521747,0.43510342,-1.7289106,0.43408800913856715,-0.3322687059936093,0.24731586271340883,4859.4435450369065,5052.060322265384,
