time,X_value,Y_value,Z_value
Started:,8월 21 2019,10:49:07:650, 
0.0000,0.00000,0.00000,0.00000
0.0012,-0.13737,0.00716,0.05595
0.0273,-0.12054,0.02439,0.04772
0.0616,-0.12351,0.04250,0.04238
0.0953,-0.11122,0.03570,0.02771
0.1300,-0.10497,0.03861,0.01212
0.1640,-0.09209,0.03394,0.00147
0.1982,-0.07261,0.03130,-0.00496
0.2319,-0.05568,0.03378,0.00181
0.2657,-0.04708,0.03902,0.00767
0.3000,-0.03161,0.03500,0.00918
0.3337,-0.00738,0.02609,0.00350
0.3682,0.00596,0.02214,0.00137
0.4024,0.00538,0.02044,0.00253
0.4363,0.01764,0.00859,-0.00300
0.4704,0.03052,0.00162,-0.00656
0.5045,0.03302,0.00840,-0.00552
0.5383,0.04296,0.00791,-0.00662
0.5727,0.05970,0.00209,-0.00909
0.6067,0.07326,0.00417,-0.01201
0.6404,0.08177,0.00989,-0.01929
0.6743,0.09241,0.00772,-0.02772
0.7082,0.09042,-0.00066,-0.03280
0.7420,0.09115,-0.01051,-0.03367
0.7763,0.09435,-0.01258,-0.03476
0.8133,0.11310,-0.04546,-0.04189
0.8451,0.16583,-0.08714,-0.06790
0.8798,0.22634,-0.09551,-0.11212
0.9139,0.28684,-0.08865,-0.18192
0.9464,0.35794,-0.11831,-0.27907
0.9807,0.47893,-0.14782,-0.40468
1.0153,0.55438,-0.14016,-0.51059
1.0492,0.60550,-0.16710,-0.59305
1.0836,0.60313,-0.21538,-0.73570
1.1164,0.57285,-0.17724,-0.91691
1.1502,0.55251,-0.04464,-1.12661
1.1842,0.55265,0.25502,-1.39939
1.2184,0.55745,0.49358,-1.69305
1.2525,0.57506,0.69465,-2.00963
1.2870,0.58985,0.86172,-2.35233
1.3209,0.54561,1.06359,-2.72113
1.3543,0.40888,1.30177,-3.14661
1.3886,0.05586,1.59197,-3.65931
1.4230,-0.54656,1.81090,-4.18505
1.4569,-1.01669,1.81911,-4.61167
1.4907,-1.40115,1.64556,-4.95087
1.5245,-1.76894,1.44922,-5.16491
1.5590,-2.16531,1.27624,-5.27190
1.5937,-2.45455,1.17504,-5.30391
1.6277,-2.62905,1.11108,-5.25727
1.6625,-2.70008,1.02469,-5.11043
1.6967,-2.71581,0.87240,-4.93297
1.7314,-2.79644,0.82660,-4.76418
1.7635,-2.82051,0.74859,-4.60003
1.8000,-2.94334,0.78638,-4.45863
1.8367,-3.02102,0.87813,-4.33900
1.8655,-3.01627,0.94066,-4.30072
1.8998,-2.92256,0.98206,-4.31348
1.9335,-2.85035,1.03495,-4.28597
1.9683,-2.77667,1.09475,-4.22725
2.0011,-2.65810,1.17140,-4.16430
2.0349,-2.51224,1.22431,-4.14697
2.0695,-2.35558,1.23945,-4.09709
2.1030,-2.16033,1.18114,-4.05066
2.1376,-1.95356,1.10494,-3.97118
2.1711,-1.70840,0.96243,-3.88160
2.2051,-1.48212,0.76488,-3.76585
2.2395,-1.26553,0.53122,-3.59191
2.2739,-1.00091,0.26678,-3.35200
2.3083,-0.74795,-0.02458,-3.02545
2.3414,-0.54879,-0.27641,-2.55205
2.3751,-0.43223,-0.41535,-1.99412
2.4090,-0.37022,-0.56325,-1.63355
2.4429,-0.31660,-0.70656,-1.42547
2.4770,-0.26657,-0.78304,-1.25692
2.5113,-0.23806,-0.84585,-1.11735
2.5451,-0.26214,-0.95247,-0.94266
2.5792,-0.32445,-1.01368,-0.72140
2.6134,-0.42171,-1.10187,-0.42918
2.6473,-0.55984,-1.22558,-0.04826
2.6821,-0.72145,-1.40363,0.42403
2.7152,-0.84386,-1.65438,0.98712
2.7493,-0.87822,-2.02100,1.66604
2.7833,-0.85218,-2.44696,2.41208
2.8174,-0.72915,-2.89029,3.25188
2.8534,-0.51134,-3.44159,4.25690
2.8854,-0.13356,-4.21091,5.48503
2.9194,0.24022,-5.08337,7.04959
2.9534,0.97068,-6.11824,8.63284
2.9876,1.89843,-7.79642,9.59987
3.0220,1.18621,-8.35684,9.32291
3.0555,0.36363,-7.67883,8.60372
3.0896,-0.23098,-7.03651,8.48916
3.1242,-0.27814,-7.36226,8.91803
3.1579,-1.30026,-7.14990,9.06304
3.1919,-2.88749,-5.78858,9.19094
3.2263,-3.78270,-3.95180,9.67463
3.2597,-3.29963,-2.81430,9.86804
3.2937,-2.17491,-2.35278,9.87600
3.3292,-1.48172,-1.83910,9.69207
3.3645,-1.22678,-1.38239,9.46113
3.3959,-0.73495,-0.78318,9.20227
3.4303,-0.40808,-0.17145,8.94969
3.4640,-0.03921,0.17203,8.63853
3.4981,0.61497,0.26067,8.37962
3.5321,1.11990,0.41948,7.89561
3.5660,1.36560,0.71026,7.45912
3.6000,1.27407,1.14297,7.14257
3.6348,1.08817,1.53120,6.76029
3.6686,0.89113,1.71190,6.20674
3.7019,0.74778,1.71261,5.56836
3.7363,0.77616,1.63352,4.88453
3.7699,0.74284,1.46617,4.22237
3.8046,0.55753,1.33929,3.61424
3.8380,0.33035,1.24894,3.05363
3.8723,0.08816,1.09263,2.51857
3.9060,-0.01705,0.80653,1.96672
3.9408,-0.02135,0.42434,1.43131
3.9742,-0.03703,0.08688,1.00140
4.0083,-0.02168,-0.13610,0.66736
4.0419,-0.04732,-0.29247,0.41128
4.0764,-0.12033,-0.39198,0.22975
4.1101,-0.23636,-0.44069,0.12016
4.1445,-0.29025,-0.49759,0.03738
4.1782,-0.31566,-0.49283,-0.01393
4.2127,-0.30699,-0.48459,-0.05435
4.2465,-0.26758,-0.50798,-0.08987
4.2807,-0.28850,-0.49294,-0.09666
4.3163,-0.31470,-0.45764,-0.10432
4.3485,-0.36005,-0.40471,-0.11287
4.3827,-0.37362,-0.38311,-0.13416
4.4164,-0.32206,-0.36790,-0.15742
4.4505,-0.27414,-0.33854,-0.16095
4.4844,-0.24803,-0.30868,-0.15777
4.5188,-0.18889,-0.30623,-0.14978
4.5528,-0.16672,-0.28794,-0.13612
4.5868,-0.16953,-0.26117,-0.12227
4.6205,-0.19779,-0.25165,-0.11729
