time,X_value,Y_value,Z_value
Started:,8월 21 2019,10:29:35:505, 
0.0000,0.00000,0.00000,0.00000
0.0005,-0.62790,0.15528,-0.53793
0.0316,-0.46866,0.12503,-0.42598
0.0658,-0.35889,0.09397,-0.35263
0.1001,-0.26110,0.06610,-0.29160
0.1345,-0.21073,0.07794,-0.23300
0.1680,-0.17513,0.08016,-0.17947
0.2025,-0.14195,0.06806,-0.13430
0.2362,-0.11840,0.08436,-0.10031
0.2700,-0.08621,0.09365,-0.08254
0.3042,-0.06153,0.09685,-0.07561
0.3378,-0.04510,0.08800,-0.06706
0.3721,-0.03828,0.07824,-0.05966
0.4062,-0.03152,0.07063,-0.05486
0.4400,-0.02092,0.05886,-0.04743
0.4745,-0.00439,0.04958,-0.04049
0.5090,0.00301,0.04381,-0.03864
0.5458,0.02037,0.03937,-0.04003
0.5763,0.03073,0.04285,-0.03951
0.6102,0.04609,0.04065,-0.03822
0.6453,0.07271,0.03429,-0.03403
0.6781,0.06940,0.04674,-0.02707
0.7124,0.06369,0.05442,-0.02301
0.7464,0.05478,0.05086,-0.01674
0.7802,0.03879,0.04747,-0.01493
0.8146,0.02540,0.04742,-0.01516
0.8495,0.01459,0.04423,-0.00952
0.8828,0.01096,0.02770,-0.00602
0.9167,0.00280,0.00751,0.00353
0.9513,0.01193,0.00293,0.01419
0.9857,0.01521,0.00837,0.02013
1.0186,0.01040,-0.00043,0.02701
1.0525,0.00169,-0.01028,0.03695
1.0864,-0.02439,-0.02702,0.04536
1.1213,-0.07851,-0.08049,0.04634
1.1548,-0.16043,-0.20033,0.03057
1.1885,-0.19820,-0.30446,0.03812
1.2232,-0.01611,-0.42381,0.08422
1.2578,0.17096,-0.48962,0.10190
1.2906,0.20198,-0.43859,0.07607
1.3248,0.24664,-0.38835,0.01325
1.3588,0.25847,-0.30085,-0.07363
1.3928,0.23623,-0.24382,-0.16359
1.4272,0.37706,-0.30803,-0.27526
1.4620,0.58057,-0.35631,-0.37790
1.4960,0.72890,-0.28095,-0.48190
1.5301,0.83374,-0.12456,-0.63314
1.5638,1.04663,-0.01534,-0.84800
1.5968,1.12316,0.18107,-1.10837
1.6320,1.03552,0.43576,-1.39861
1.6698,0.91708,0.77106,-1.69624
1.7001,0.78436,1.09819,-2.04472
1.7344,0.47123,1.47444,-2.43022
1.7685,0.09356,1.90497,-2.86563
1.8023,-0.26716,2.28285,-3.37968
1.8365,-0.60941,2.54160,-3.89747
1.8715,-1.03146,2.76534,-4.38743
1.9032,-1.46520,2.89883,-4.79938
1.9390,-1.85893,2.89053,-5.07870
1.9722,-2.20523,2.76235,-5.26168
2.0064,-2.54271,2.62760,-5.33247
2.0404,-2.71630,2.46248,-5.27196
2.0780,-2.83342,2.31531,-5.18369
2.1073,-2.91289,2.22518,-5.03424
2.1420,-2.92712,2.15588,-4.86690
2.1765,-2.94770,2.07864,-4.72286
2.2127,-2.99549,2.07393,-4.66782
2.2440,-2.84707,2.06920,-4.64049
2.2783,-2.61373,2.04288,-4.59727
2.3122,-2.45900,2.09693,-4.56438
2.3480,-2.35276,2.19332,-4.51422
2.3802,-2.22762,2.24330,-4.48094
2.4134,-2.04139,2.27129,-4.48855
2.4475,-1.83927,2.17641,-4.44006
2.4817,-1.65259,1.99363,-4.32922
2.5160,-1.47960,1.86361,-4.15011
2.5498,-1.29386,1.60934,-3.80540
2.5834,-1.16396,1.22066,-3.40084
2.6178,-1.03270,0.86581,-2.96372
2.6521,-0.97020,0.51097,-2.45174
2.6862,-0.96577,0.12029,-1.91479
2.7200,-0.96696,-0.27134,-1.29207
2.7551,-1.04177,-0.62083,-0.59869
2.7894,-1.05034,-1.04798,0.12986
2.8218,-0.92126,-1.59137,1.04755
2.8574,-0.70390,-2.18719,2.06286
2.8898,-0.39661,-2.83932,3.21437
2.9254,0.09788,-3.67390,4.42572
2.9599,0.79921,-4.70064,5.72753
2.9930,1.37702,-5.92801,7.23090
3.0353,1.45624,-7.32833,8.74390
3.0612,1.62737,-8.21867,10.02816
3.0937,2.44272,-9.11042,10.57453
3.1283,1.56360,-9.21029,10.50244
3.1621,-0.29439,-8.37886,10.57911
3.1959,-1.51685,-7.17448,10.47561
3.2298,-1.71857,-5.92661,10.30144
3.2639,-1.58002,-4.55634,10.31996
3.2981,-1.07760,-3.24266,10.61253
3.3326,-0.73731,-2.40020,10.69914
3.3696,-0.66675,-1.58284,10.73856
3.4003,-0.35739,-0.89322,10.61449
3.4339,-0.20407,-0.39616,10.18764
3.4683,0.16623,0.09444,9.56393
3.5021,0.81538,0.50793,8.86104
3.5365,1.11918,0.79254,8.21806
3.5702,1.12822,1.04965,7.57910
3.6047,1.07725,1.31510,7.02234
3.6384,1.01893,1.48057,6.34305
3.6723,1.06586,1.48310,5.49016
3.7061,1.01875,1.46700,4.76428
3.7402,0.90371,1.27943,4.10293
3.7744,0.84333,1.15732,3.43887
3.8090,0.61937,1.06316,2.82276
3.8423,0.37269,0.91259,2.22137
3.8765,0.17712,0.72430,1.63921
3.9109,-0.04127,0.52484,1.12708
3.9445,-0.26329,0.26311,0.65822
3.9786,-0.48258,0.03118,0.20705
4.0122,-0.68598,-0.19324,-0.19029
4.0509,-0.78933,-0.39890,-0.52100
4.0807,-0.87499,-0.57183,-0.79067
4.1143,-1.02623,-0.68370,-0.98685
4.1488,-1.09708,-0.84667,-1.14435
4.1827,-1.16458,-1.01514,-1.32327
4.2172,-1.30985,-1.13158,-1.49650
4.2506,-1.51142,-1.23575,-1.64733
4.2847,-1.75060,-1.32806,-1.80341
4.3193,-2.00739,-1.37963,-1.93739
4.3527,-2.13182,-1.49673,-2.05605
4.3868,-2.15231,-1.60270,-2.17930
4.4208,-2.22713,-1.62188,-2.27333
4.4545,-2.13988,-1.62259,-2.32086
4.4892,-2.01445,-1.59913,-2.40699
4.5227,-1.94179,-1.45901,-2.43450
4.5575,-1.88447,-1.28807,-2.38613
4.5920,-1.87272,-1.12586,-2.34485
4.6255,-1.89824,-0.93846,-2.29298
4.6592,-1.91567,-0.71568,-2.20483
4.6931,-1.85447,-0.52861,-2.10517
4.7274,-1.82614,-0.32795,-1.99987
4.7694,-1.84227,-0.13858,-1.90077
4.8026,-1.83315,0.02557,-1.77902
4.8297,-1.76135,0.16366,-1.66745
4.8652,-1.69340,0.26807,-1.55830
