time,X_value,Y_value,Z_value
Started:,8월 21 2019,10:46:17:453, 
0.0000,0.00000,0.00000,0.00000
0.0013,0.14370,-0.01129,0.18009
0.0257,0.08848,0.01566,0.15859
0.0572,0.02887,0.01893,0.13189
0.0918,0.00160,-0.01470,0.10918
0.1254,-0.02646,-0.02435,0.09473
0.1599,-0.05655,-0.02537,0.07986
0.1943,-0.05541,-0.02960,0.06683
0.2286,-0.06707,-0.01527,0.05619
0.2615,-0.07498,-0.01024,0.04839
0.2958,-0.07680,0.00875,0.03838
0.3298,-0.08191,0.02637,0.03353
0.3645,-0.10154,0.04775,0.02778
0.3977,-0.11683,0.06705,0.01485
0.4322,-0.10931,0.07813,0.00583
0.4672,-0.10573,0.09045,-0.00496
0.5003,-0.10587,0.08700,-0.01193
0.5337,-0.09914,0.08645,-0.01073
0.5676,-0.07323,0.08297,-0.01566
0.6024,-0.05246,0.07612,-0.02083
0.6366,-0.04004,0.07130,-0.02258
0.6700,-0.02846,0.06043,-0.02567
0.7038,-0.03081,0.05208,-0.03156
0.7381,-0.03761,0.04279,-0.03825
0.7720,-0.03918,0.03079,-0.04851
0.8062,-0.04102,0.00191,-0.05697
0.8406,-0.02444,-0.04427,-0.05096
0.8745,-0.00400,-0.10581,-0.01282
0.9085,0.02681,-0.13622,0.09052
0.9426,0.03767,-0.12026,0.15656
0.9806,0.04662,-0.11916,0.08971
1.0102,0.03027,-0.13512,0.06260
1.0443,-0.04098,-0.16966,0.09050
1.0782,-0.04207,-0.25912,0.09318
1.1121,0.02439,-0.35149,0.07833
1.1466,0.07448,-0.40937,0.08376
1.1808,0.06404,-0.44226,0.08856
1.2143,0.10103,-0.50895,0.08794
1.2486,0.08841,-0.55707,0.10276
1.2826,0.10525,-0.58162,0.09055
1.3169,0.10062,-0.61337,0.05266
1.3500,-0.05432,-0.63483,0.00374
1.3842,-0.09213,-0.68161,-0.00297
1.4186,-0.05892,-0.69573,-0.04127
1.4533,0.07737,-0.64937,-0.20290
1.4865,0.27800,-0.59000,-0.46801
1.5209,0.37830,-0.47230,-0.72458
1.5544,0.59975,-0.36056,-0.99240
1.5884,0.89894,-0.25380,-1.22593
1.6228,1.18350,-0.11434,-1.46892
1.6584,1.29209,0.09639,-1.82300
1.6909,1.37302,0.38529,-2.27314
1.7245,1.29011,0.75436,-2.82491
1.7587,1.15402,1.03392,-3.42611
1.7931,0.98778,1.29155,-3.97610
1.8269,0.72776,1.50513,-4.50247
1.8610,0.38965,1.57065,-4.97400
1.8945,-0.04316,1.66423,-5.34943
1.9297,-0.34621,1.69608,-5.56620
1.9628,-0.48005,1.61656,-5.66614
1.9996,-0.57620,1.61026,-5.61895
2.0310,-0.69320,1.66721,-5.50075
2.0647,-0.81889,1.78501,-5.36121
2.0991,-0.92438,1.84816,-5.21193
2.1334,-0.94672,1.90273,-5.11320
2.1667,-1.05398,2.02285,-4.98059
2.2008,-1.11624,2.07434,-4.79871
2.2356,-1.19616,2.15373,-4.73104
2.2692,-1.28012,2.31333,-4.67446
2.3031,-1.40436,2.51177,-4.55963
2.3376,-1.56121,2.71754,-4.46824
2.3709,-1.40865,2.74989,-4.38890
