time,X_value,Y_value,Z_value
Started:,8월 21 2019,10:49:37:835, 
0.0000,0.00000,0.00000,0.00000
0.0004,-0.20113,-0.28465,-0.11080
0.0320,-0.15264,-0.21056,-0.07258
0.0657,-0.12675,-0.15582,-0.03859
0.0997,-0.10869,-0.12967,-0.02039
0.1338,-0.08911,-0.11382,-0.01401
0.1679,-0.06775,-0.09464,-0.01016
0.2019,-0.04248,-0.07636,-0.00698
0.2362,-0.03277,-0.05305,-0.00687
0.2700,-0.03093,-0.03593,0.00009
0.3039,-0.01836,-0.02411,0.00349
0.3382,-0.01121,-0.01238,0.00051
0.3718,-0.00440,-0.00816,-0.00213
0.4061,-0.00252,-0.00942,-0.00303
0.4398,-0.00162,-0.01119,-0.00287
0.4745,0.00415,-0.00793,-0.00341
0.5082,0.00895,-0.01026,-0.00107
0.5423,0.00997,-0.01237,0.00351
0.5761,0.02868,-0.01758,0.00508
0.6103,0.04355,-0.02500,0.00983
0.6443,0.03382,-0.02004,0.01535
0.6786,0.02708,-0.02112,0.01753
0.7122,0.02125,-0.01587,0.02193
0.7465,0.01521,-0.01140,0.02627
0.7806,0.01758,-0.02012,0.02395
0.8145,0.03384,-0.04189,0.02550
0.8483,0.00846,-0.04860,0.03326
0.8824,-0.07770,-0.05782,0.04877
0.9164,-0.16142,-0.08527,0.07436
0.9505,-0.19868,-0.14640,0.06248
0.9843,-0.18216,-0.18964,0.04449
1.0186,-0.18140,-0.19054,0.03185
1.0530,-0.20177,-0.21173,0.01972
1.0867,-0.21134,-0.27288,-0.03581
1.1206,-0.23750,-0.31321,-0.11868
1.1547,-0.30849,-0.32263,-0.20936
1.1882,-0.32866,-0.29404,-0.29977
1.2228,-0.34735,-0.25120,-0.42054
1.2567,-0.31460,-0.25986,-0.58544
1.2916,-0.19212,-0.29037,-0.76711
1.3245,-0.09179,-0.24193,-0.97731
1.3587,-0.00569,-0.15782,-1.20962
1.3929,0.11196,-0.10484,-1.44749
1.4269,0.28887,-0.10524,-1.67077
1.4606,0.39453,0.04632,-1.93108
1.4952,0.42656,0.26217,-2.23169
1.5299,0.34104,0.49253,-2.59199
1.5631,0.30952,0.69146,-3.00193
1.5969,0.23468,0.86592,-3.52380
1.6307,0.05880,1.11047,-4.06506
1.6647,-0.19151,1.32258,-4.59372
1.6989,-0.49247,1.44943,-5.04623
1.7327,-0.82630,1.50053,-5.34270
1.7671,-1.25442,1.59722,-5.52887
1.8012,-1.65909,1.51123,-5.57801
1.8353,-1.91094,1.30763,-5.48496
1.8690,-2.14708,1.23306,-5.32753
1.9030,-2.44132,1.28948,-5.11640
1.9369,-2.70688,1.34063,-4.87735
1.9714,-2.80465,1.31014,-4.64094
2.0053,-2.77683,1.26417,-4.38866
2.0413,-2.67307,1.17278,-4.09548
2.0733,-2.56060,1.12571,-3.83104
2.1078,-2.44073,1.12353,-3.62018
2.1431,-2.36207,1.15584,-3.41925
2.1754,-2.26949,1.15355,-3.24425
2.2095,-2.16159,1.16118,-3.10910
2.2433,-2.02509,1.17108,-2.96301
2.2773,-1.85262,1.19042,-2.85658
2.3115,-1.67891,1.20227,-2.79797
2.3450,-1.50437,1.22975,-2.74043
2.3795,-1.33396,1.26701,-2.68329
2.4136,-1.17672,1.27822,-2.64908
2.4482,-0.98952,1.25596,-2.60715
2.4815,-0.72186,1.24134,-2.58794
2.5154,-0.55887,1.21508,-2.58831
2.5493,-0.41083,1.13145,-2.52843
2.5838,-0.32988,1.11247,-2.40169
2.6177,-0.28271,1.07976,-2.29012
2.6520,-0.28329,0.98256,-2.22123
2.6857,-0.24722,0.81213,-2.11558
2.7200,-0.16793,0.65063,-1.97668
2.7541,-0.10970,0.49399,-1.80065
2.7879,-0.10648,0.33680,-1.59144
2.8220,-0.14105,0.19248,-1.34549
2.8557,-0.16955,0.05474,-1.09029
2.8896,-0.21100,-0.11241,-0.84155
2.9236,-0.27850,-0.30508,-0.59574
2.9581,-0.36686,-0.55807,-0.37720
2.9915,-0.46319,-0.85303,-0.17351
3.0262,-0.53330,-1.24751,0.04729
3.0604,-0.56515,-1.71505,0.30357
3.0986,-0.58867,-2.27022,0.62138
3.1315,-0.62841,-2.99940,1.12270
3.1673,-0.57942,-3.82187,1.78518
3.1977,-0.41225,-4.74907,2.61043
3.2300,-0.16943,-5.81266,3.73238
3.2673,0.47174,-7.00111,5.26667
3.3006,0.95592,-8.61587,7.09009
3.3318,0.30739,-10.24909,8.37736
3.3658,0.49627,-11.23059,8.37592
3.3999,0.68782,-10.18529,8.19486
3.4338,-1.84950,-9.29528,8.64359
3.4681,-2.10221,-9.21911,9.15403
3.5020,-2.77030,-7.18565,10.05354
3.5359,-2.45737,-6.13215,10.81018
3.5701,-1.99125,-5.42564,11.03803
3.6040,-1.55307,-4.28712,11.15736
3.6387,-0.69843,-3.29263,11.11928
3.6720,0.05216,-2.48186,10.83914
3.7062,0.71275,-1.97122,10.36680
3.7399,1.08424,-1.44693,9.73058
3.7739,1.23594,-0.92725,9.01418
3.8083,1.39734,-0.47673,8.36506
3.8421,1.46667,-0.01399,7.78790
3.8759,1.43670,0.41191,7.14193
3.9101,1.48239,0.64132,6.34717
3.9441,1.43162,0.82794,5.61600
3.9782,1.35535,1.06146,5.05883
4.0128,1.20331,1.27097,4.54418
4.0467,1.18039,1.28361,3.97507
4.0801,1.11124,1.15812,3.38600
4.1142,0.91075,1.03160,2.90444
4.1482,0.69699,0.92516,2.41679
4.1896,0.48932,0.67179,1.86318
4.2164,0.28909,0.36514,1.37635
4.2504,0.16468,0.15210,0.97383
4.2844,0.08942,0.02494,0.69639
4.3185,0.04965,-0.05394,0.53572
4.3527,0.04668,-0.11232,0.41306
4.3865,0.04308,-0.14108,0.29830
4.4209,0.06685,-0.16665,0.17719
