time,X_value,Y_value,Z_value
Started:,8월 21 2019,10:47:31:301, 
0.0000,0.00000,0.00000,0.00000
0.0005,0.02729,0.01887,-0.05210
0.0326,0.02487,0.01067,-0.04587
0.0659,0.01998,0.01019,-0.03288
0.1001,0.00664,0.02748,-0.02025
0.1339,0.00366,0.03631,-0.01135
0.1681,0.00666,0.03106,-0.00508
0.2018,0.00504,0.02994,-0.00384
0.2358,0.00360,0.02575,-0.00236
0.2699,0.00129,0.02375,-0.00029
0.3038,-0.00996,0.02417,0.00514
0.3378,-0.01614,0.01307,0.00987
0.3719,-0.02053,0.00777,0.01096
0.4060,-0.02091,0.00729,0.01297
0.4402,-0.01825,0.00272,0.01409
0.4740,-0.01387,0.00413,0.01417
0.5082,-0.01882,0.00929,0.01148
0.5423,-0.02567,0.01461,0.01075
0.5763,-0.03109,0.02115,0.01328
0.6102,-0.03391,0.02563,0.01098
0.6441,-0.03438,0.03011,0.00590
0.6780,-0.03338,0.02859,0.00396
0.7122,-0.02445,0.02634,0.00165
0.7464,-0.02389,0.02557,0.00055
0.7818,-0.02329,0.02769,0.00139
0.8147,-0.01970,0.02421,-0.00148
0.8482,-0.01888,0.01885,-0.00826
0.8822,-0.01243,0.01945,-0.01290
0.9168,-0.00603,0.01742,-0.01709
0.9503,0.00692,0.00984,-0.02204
0.9846,0.01046,0.00939,-0.02169
1.0184,0.02039,0.00556,-0.01839
1.0529,0.02562,-0.00018,-0.01443
1.0864,0.03116,-0.00641,-0.01275
1.1225,0.03954,-0.00768,-0.01154
1.1543,0.04854,-0.00850,-0.01254
1.1886,0.05406,-0.02240,-0.01967
1.2229,0.05609,-0.05136,-0.03571
1.2571,0.04706,-0.08034,-0.05940
1.2908,0.01544,-0.09720,-0.06596
1.3246,0.02182,-0.13342,-0.05089
1.3601,0.08085,-0.15621,-0.09764
1.3935,0.27422,-0.21136,-0.15578
1.4265,0.41690,-0.25817,-0.22565
1.4629,0.47619,-0.26885,-0.27913
1.4945,0.53759,-0.28750,-0.32363
1.5288,0.59094,-0.27222,-0.39227
1.5625,0.60566,-0.23168,-0.50773
1.5968,0.71455,-0.26635,-0.64961
1.6314,0.83561,-0.25800,-0.75036
1.6662,0.87264,-0.16250,-0.88440
1.7004,0.87563,0.06021,-1.07119
1.7330,0.85795,0.39407,-1.31195
1.7696,0.78107,0.81247,-1.68554
1.8061,0.65388,1.19252,-2.13052
1.8350,0.53559,1.43628,-2.57220
1.8700,0.41047,1.55697,-3.03662
1.9038,0.24364,1.65625,-3.43878
1.9380,-0.07073,1.85538,-3.79108
1.9743,-0.39373,2.01147,-4.10137
2.0057,-0.58357,1.94553,-4.39477
2.0393,-0.83973,1.84609,-4.63558
2.0734,-1.07333,1.77470,-4.75486
2.1103,-1.22657,1.74524,-4.82383
2.1461,-1.35877,1.74536,-4.87325
2.1762,-1.57230,1.71543,-4.85358
2.2102,-1.71695,1.69156,-4.78752
2.2438,-1.86773,1.74615,-4.76941
2.2781,-2.06256,1.72575,-4.76810
2.3124,-2.13226,1.58239,-4.70746
2.3521,-2.21312,1.49922,-4.65470
2.3799,-2.23133,1.44021,-4.55817
2.4158,-2.21022,1.37346,-4.41769
2.4475,-2.30312,1.37156,-4.36629
2.4846,-2.28102,1.40724,-4.28793
2.5190,-2.12347,1.43790,-4.15183
2.5496,-1.96717,1.46590,-4.13655
2.5838,-1.81708,1.46252,-4.17054
2.6177,-1.62082,1.41288,-4.15217
2.6516,-1.45343,1.37769,-4.15262
2.6856,-1.29025,1.38539,-4.15541
2.7198,-1.05461,1.25654,-4.08257
2.7546,-0.84925,1.08620,-4.02877
2.7878,-0.69055,1.01348,-3.99957
2.8222,-0.51800,0.91034,-3.86215
2.8556,-0.35663,0.78086,-3.66793
2.8898,-0.22828,0.59105,-3.43566
2.9240,-0.12297,0.45454,-3.14587
2.9578,-0.07981,0.34166,-2.79617
2.9917,-0.09655,0.25760,-2.44022
3.0257,-0.13040,0.18735,-2.07467
3.0603,-0.15670,0.11811,-1.71547
3.0942,-0.20709,0.08521,-1.41035
3.1283,-0.28474,0.00568,-1.12661
3.1618,-0.35709,-0.10013,-0.82543
3.1962,-0.47904,-0.20389,-0.54940
3.2301,-0.63094,-0.35461,-0.22352
3.2640,-0.79144,-0.55153,0.17348
3.2984,-0.95719,-0.80135,0.64488
3.3325,-1.07428,-1.15551,1.19285
3.3661,-1.18227,-1.57381,1.82368
3.4007,-1.27857,-1.95955,2.54594
3.4351,-1.27353,-2.38922,3.40612
3.4682,-1.17711,-2.85983,4.37284
3.5099,-0.87969,-3.52022,5.44235
3.5370,-0.54267,-4.37317,6.56952
3.5707,-0.35523,-5.02290,7.45934
3.6042,-0.24269,-5.16553,8.02267
3.6385,0.42433,-5.62668,8.74038
3.6722,0.92174,-6.93464,9.32069
3.7064,0.77777,-7.41532,9.78502
3.7406,0.43023,-7.77486,10.31801
3.7742,-0.18530,-7.49447,10.45084
3.8084,-0.83967,-6.43370,11.07291
3.8425,-0.72934,-4.95220,11.21551
3.8766,0.20143,-3.40432,11.41023
3.9106,1.44682,-2.29148,11.73088
3.9445,2.01885,-1.31225,11.86225
3.9785,2.32802,-0.52816,11.63961
4.0137,2.88710,-0.06776,11.17837
