time,X_value,Y_value,Z_value
Started:,8월 21 2019,10:23:57:639, 
0.0000,0.00000,0.00000,0.00000
0.0010,-0.01744,0.10804,0.03343
0.0273,-0.03120,0.27912,0.08054
0.0602,0.01023,0.23614,0.07510
0.0945,0.01687,0.19791,0.08688
0.1277,0.00791,0.16109,0.10574
0.1692,-0.00285,0.11197,0.12391
0.1967,-0.04665,0.04236,0.13594
0.2309,-0.09275,-0.02014,0.14314
0.2651,-0.14139,-0.08108,0.14083
0.2993,-0.22211,-0.12195,0.13624
0.3320,-0.24166,-0.15038,0.13876
0.3667,-0.22566,-0.18032,0.14940
0.4003,-0.32821,-0.18973,0.17940
0.4344,-0.43358,-0.20668,0.22222
0.4679,-0.36519,-0.28587,0.26448
0.5099,-0.19716,-0.40919,0.26433
0.5368,-0.10717,-0.50793,0.22245
0.5710,-0.08528,-0.51256,0.17619
0.6051,-0.14929,-0.49373,0.08420
0.6430,-0.34122,-0.48327,-0.04911
0.6731,-0.58991,-0.49877,-0.20350
0.7060,-0.71090,-0.61616,-0.36691
0.7411,-0.70275,-0.75591,-0.63548
0.7755,-0.73383,-0.76428,-0.96044
0.8094,-0.71639,-0.71700,-1.23012
0.8462,-0.55840,-0.79471,-1.49658
0.8763,-0.32213,-0.91878,-1.85994
0.9116,-0.22538,-0.79862,-2.17880
0.9456,-0.23733,-0.44841,-2.46923
0.9785,-0.27331,-0.24483,-2.77715
1.0123,-0.33782,-0.09335,-3.07419
1.0463,-0.55163,0.22154,-3.45440
1.0803,-0.86243,0.52465,-3.83911
1.1143,-1.27615,0.67526,-4.14691
1.1480,-1.74541,0.77669,-4.39356
1.1828,-2.14027,0.87614,-4.51047
1.2166,-2.50565,0.80736,-4.56496
1.2510,-2.73208,0.75909,-4.61294
1.2848,-3.07677,1.01553,-4.64868
1.3254,-3.45194,1.34104,-4.60237
1.3530,-3.55683,1.36430,-4.56335
1.3864,-3.78264,1.55734,-4.48723
1.4205,-3.81160,1.81207,-4.34067
1.4547,-3.74595,1.94124,-4.12917
1.4884,-3.57860,1.94461,-3.85419
1.5236,-3.50386,1.99695,-3.58800
1.5586,-3.42548,2.03468,-3.36422
1.5909,-3.32599,2.01180,-3.23322
1.6248,-3.20879,2.00306,-3.19619
1.6591,-3.02910,2.04750,-3.28245
1.6923,-2.87461,2.03977,-3.43755
1.7273,-2.68639,1.93295,-3.50983
1.7606,-2.52152,1.83008,-3.43625
1.7949,-2.32210,1.62668,-3.22336
1.8285,-2.09810,1.29612,-2.91768
